Date,Title,Image
2022-12-14,पुस्तक अध्ययन गोष्ठीबारे सूचना !  ,/uploads/notice/Notice_20221214_1670998148_01.jpg
2022-11-16,प्रतिनिधिसभा र प्रदेशसभा सदस्य निर्वाचनको बिदा बारे सूचना !,/uploads/notice/Notice_20221116_1668594090_01.jpg
2022-11-14,मंसिर १ गतेदेखि ६ गतेसम्म पठनपाठन नहुने बारे सूचना !,/uploads/notice/Notice_20221114_1668422667_01.jpg
2022-11-14,कलेज समय परिवर्तन बारे सूचना !,/uploads/notice/Notice_20221114_1668422886_01.jpg
2022-11-08,बुक बैंकका पुस्तक बितरण सम्बन्धी सूचना !,/uploads/notice/Notice_20221108_1667902655_01.jpg
2022-11-06,बस सुबिधा नबिकरण गर्ने बारे सुचना !,/uploads/notice/Notice_20221106_1667730641_01.jpg
2022-10-21,दोस्रो सेमेष्टरको शुल्क बुझाउने सम्बन्धी जरुरी सूचना ! ,https://khwopa.edu.np/uploads/notice/Notice_20221021_1666336031_01.jpg
2022-10-21,भाद्र र असोजको मासिक  शुल्क बारे सूचना !,/uploads/notice/Notice_20221021_1666337001_01.jpg
2022-09-28,दशै  / तिहार बिदा बारे सूचना !,/uploads/notice/Notice_20220928_1664359850_01.jpg
2022-09-28,छात्रबृती रकम लिन आउने बारे सूचना !,/uploads/notice/Notice_20220928_1664345374_01.jpg
2022-09-25,घटस्थापनाको  दिन कलेज बिदा हुने बारे सूचना !,/uploads/notice/Notice_20220925_1664089549_01.jpg
2022-09-23,सेमेष्टर टपर छात्रबृति लिन आउने बारे सूचना !,/uploads/notice/Notice_20220923_1663913237_01.jpg
2022-09-18,संविधान दिवसको दिन कलेज सन्चालन हुने बारे सूचना !,/uploads/notice/Notice_20220918_1663499452_01.jpg
2022-09-06,Semester Topper विद्यार्थीको छात्रवृत्ति बारे,
2022-09-06,Full Scholarship प्रदान गरिएको बारे सूचना !,
2022-09-05,पुनः परीक्षाकाे Online परीक्षा फाराम भर्ने बारे सूचना,/uploads/notice/Notice_20220905_1662358543_01.jpg
2022-08-31,परीक्षा केन्द्रमा कलेज बसले पुर्‍याउने बारे सूचना !,/uploads/notice/Notice_20220831_1661940954_01.jpg
2022-08-29,परीक्षा केन्द्रमा कलेज बसले पुर्‍याउने  बारे  सूचना !,/uploads/notice/Notice_20220829_1661759321_01.jpg
2022-08-22,गरिब तथा जेहेन्दार विद्यार्थी छात्रवृत्तिकाे अन्तवार्ता  सम्बन्धि सूचना ।,
2022-08-09,साउन २६ र २७ गते कलेज बिदा हुने बारे सूचना ।,/uploads/notice/Notice_20220809_1660041724_01.jpg
2022-08-05,Submit Course Feedback Form (Compulsory),/uploads/notice/Notice_20220805_1659683374_01.jpg
2022-08-02,विद्यार्थी धरौटी र बुक बैंक रकम लिन आउनेबारे सूचना !,/uploads/notice/Notice_20220802_1659436736_01.jpg
2022-07-21,विलम्ब शुल्क बारे सूचना !,/uploads/notice/Notice_20220721_1658389911_01.jpg
2022-07-20,गरिब तथा जेहेन्दार विद्यार्थी छात्रबृती सम्बन्धि सूचना ।,/uploads/files/notice/Scholarship%20notice%202022.jpg
2022-07-13,लेखा शाखाको बिलिङ्ग कार्य बन्द हुने सम्बन्धि जरुरी सूचना !,/uploads/notice/Notice_20220713_1657688323_01.jpg
2022-07-06,नेपाल इन्जिनियरिङ्ग परिषदमा भर्ना शुल्क बुझाउने सम्बन्धि जरूरी सूचना !,/uploads/notice/Notice_20220706_1657092765_01.jpg
2022-07-03,हाजिरीजवाफ प्रतियोगिता हुनेबारे सूचना ! ,/uploads/notice/Notice_20220703_1656843527_01.jpg
2022-07-03,खेलकूद प्रतियोगिता हुने बारे सूचना !,/uploads/notice/Notice_20220703_1656843253_01.jpg
2022-06-17,"दोश्रो, तेश्रो र चौथो बर्षमा भर्ना हुने सम्बन्धी सूचना !",/uploads/notice/Notice_20220617_1655454357_01.jpg
